student_id,"In your own words, what kinds of tasks would you use this model for?",How likely are you to use this model for academic tasks?,Which types of tasks do you feel this model handles best? (Select all that apply.),"Based on your experience, how often has this model given you a response that felt suboptimal?",For which types of tasks do you feel this model tends to give suboptimal responses? (Select all that apply.),"Think of one task where this model gave you a suboptimal response. What did the response look like, and why did you find it suboptimal?",How often do you expect this model to provide responses with references or supporting evidence?,How often do you verify this model's responses?,"When you verify a response from this model, how do you usually go about it?",label,pred
8,"This tool is a language processing tool. It can be used to write letters or reports, brain storm ideas. It can also be process images or documents. I can summarize a document. You can even ask it specific questions related to a document. Such as to extract relevant data from the document that one is interested in.",4 — Likely,"Writing or debugging code,Explaining complex concepts simply,Converting content between formats (e.g., LaTeX),Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Data processing or analysis",When i asked it to generate a image with five persons sometimes it generated with 6. It sometimes makes sign errors .,3 — Sometimes,4 — Often,I first ask it for references if it does not provide any. Sometimes is does not provide correct references. Then based on my needs and situation i fact check the relevant parts. If the answer involves any number or statistics i make doubly sure they are thoroughly checked as this tool often makes mistakes with numbers.,Claude,ChatGPT
8,I would use it to it summarize a document i received in an email. it can be used to generate ideas and create reports or compose a formal letter.,4 — Likely,"Writing or debugging code,Explaining complex concepts simply,Converting content between formats (e.g., LaTeX),Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Data processing or analysis",When asked to extract cost of a course from a website it did not account for the fact that the fees are paid for 2 years once each year and so it reported half the cost only.,3 — Sometimes,4 — Often,i fact check the sources it cites. But i often find that the sometimes the content if not from the sources it cites so i have to do additional fact checking by doing a search myself.,Gemini,ChatGPT
22,I have never used this model,1 — Not at all likely,,1 — Never,,I have never used this model,1 — Never,1 — Never,I have never used this model,Gemini,Claude
25,fixing code,2 — Unlikely,"Writing or debugging code,Data processing or analysis",3 — Sometimes,Writing or debugging code,the model delete all the code,2 — Rarely,4 — Often,run the code,Gemini,Claude
46,"Personally, I believe that [THIS MODEL] which works as a multipotent Artificial Intelligence Generating Model which allows us human to input specific sentence in order to generate something, but it seems that the function of generating images wasn't there. Therefore, although I don't really use [THIS MODEL] that frequent comparing to [ANOTHER MODEL], I will use it to generate a better version of essays/paragraphs which are considered zero-error in terms of grammar and vocabulary. Besides, I will use it to save much time researching the background information for a specific topic, however, the content that I'm searching shouldn't be to professional as [THIS MODEL]'s AIGC seems limited and non-expanding for me, it just provides the basis for a specific topic from what I can see. Lastly, the function of generating images seems to not have been created by [THIS MODEL], so eventually it will only be a tool for me to complete simple task.",3 — Neutral / Unsure,"Writing or debugging code,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Data processing or analysis","One task where this model gave you a suboptimal response is the math computations. As a matter of fact, when I give them mathematical questions which are easy and direct, it will provide me with an accurate answer with explanation. But, when it comes to some questions which has achieved then university undergraduate level, their responses will be more of a narrative (tons of explanation) one. Why I considered this as a bad/suboptimal response? Because the answer were always unclear and it doesn't directly answer the questions the users had asked about. What they do is just taking professional terms (terminology-based) and generating it without knowing the knowledge and logic they're outputting is right or wrong, which is related to the inner core of AI, choosing words which has been used frequently for this kind of question.",4 — Often,4 — Often,"The same as [ANOTHER MODEL] to be honest. I will use my own professional knowledge to first comprehend the content and clarify the logic itself. If the content or logic doesn't match with the knowledge I have learned previously, I will search through the website and databases to verify whether my hypothesis/explanation matches with the statement provided by the authorized references.",Claude,ChatGPT
50,Researching purchases as it has a larger context window than [ANOTHER MODEL],2 — Unlikely,Brainstorming or generating creative ideas,2 — Rarely,"Math computations,Writing or debugging code,Data processing or analysis,Drafting professional text (e.g., emails, résumés)","It is far worse than other models at reasoning, so it often gets confused explain math",3 — Sometimes,4 — Often,It mostly messes up logic so I look at it a validate the logic myself which negates a lot of the point of using it for some thing,Claude,Gemini
52,"I usually used it for when I need to understand a complicated concept. The model can break it down or as I say, dumb it down for me. The model is also great for summarizing course notes and writing emails.",2 — Unlikely,"Explaining complex concepts simply,Drafting professional text (e.g., emails, résumés)",3 — Sometimes,"Math computations,Writing or editing essays/reports","I asked the model to find me references list for this essay I was writing and it gave me a link to non-existing, fake readings.",2 — Rarely,5 — Very often,"For math or statistics tasks, I would do the calculation myself, asked a friend for feedback, and go to Office Hours. If it was coding related, I would trace the code, run it in my IDE, and test it with edge cases.",ChatGPT,Claude
52,Summarizing long documents,2 — Unlikely,Writing or editing essays/reports,2 — Rarely,"Drafting professional text (e.g., emails, résumés)","When I asked [THIS MODEL] to help debug a Python error trace involving NumPy, it gave me a very generalized explanation of possible causes. It listed several broad scenarios but didn’t directly point out the actual mistake in my code. It also avoided suggesting a concrete fix until I provided more clarifying context.",4 — Often,5 — Very often,"For math or statistics tasks, I would do the calculation myself, compare with course materials, or confirm in Office Hours. For coding, I would trace the code, run it in my IDE, and test edge cases to ensure the solution works. For factual or research-based questions, I would cross-check against lecture notes, textbooks, or other reliable sources, since [THIS MODEL] often summarizes without citing.",Claude,Gemini
52,"I’d use [THIS MODEL] for a mix of schoolwork and personal projects. It’s good for coding help and debugging, since I can test ideas and get explanations. I’d also use it for math or stats practice, and to summarize readings or lecture notes. On the creative side, I’d use it for brainstorming, writing drafts, or generating ideas. Overall, I’d turn to [THIS MODEL] when I want quick, clear help across different tasks.",2 — Unlikely,"Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",2 — Rarely,"Math computations,Writing or debugging code,Data processing or analysis,Converting content between formats (e.g., LaTeX),Writing or editing essays/reports","One task where [THIS MODEL] gives a suboptimal response is detailed math problem-solving. When I asked it to show step-by-step work for a stats question, it skipped steps and jumped straight to the final answer. This was unhelpful because I needed to see the reasoning process to understand the method, not just the result.",2 — Rarely,5 — Very often,"I would verify [THIS MODEL]’s responses by checking them against reliable sources or testing them directly. For math or stats, I’d work through the calculations myself and compare with class notes or textbooks. For coding, I’d run the code in my IDE, trace it line by line, and test edge cases. For general factual answers, I’d cross-check with lecture slides, research articles, or trusted online sources to make sure the information is accurate.",Gemini,Claude
59,I would use [THIS MODEL] to get informations about random general knowledge information. Also I feel like this model is very good at explaining difficult scientific notions making them very simple and concrete.,3 — Neutral / Unsure,"Explaining complex concepts simply,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",2 — Rarely,"Math computations,Writing or debugging code,Data processing or analysis",I used [THIS MODEL] to help me prepare for my math tests. It was sometimes giving me very wrong answers. The worst part was when I asked him Logic answers. [THIS MODEL] simply cant proof things that are not already online. I found it suboptimal because it was giving wrong answers.,3 — Sometimes,2 — Rarely,I search an article or something like this online by myself.,ChatGPT,Gemini
59,"I never use [THIS MODEL]. I heard it was good at everything. Also, his API is better. I would use it to call its API for a project.",1 — Not at all likely,"Math computations,Writing or debugging code,Explaining complex concepts simply,Writing or editing essays/reports",1 — Never,Explaining complex concepts simply,I heard using [THIS MODEL] without its API calls straight in the code is not very clear when he answers questions.,1 — Never,1 — Never,I would also check online for information or debug the code if this is I asked for.,Gemini,Claude
60,For coming up with writing ideas,3 — Neutral / Unsure,"Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Writing or debugging code,Data processing or analysis,Explaining complex concepts simply,Converting content between formats (e.g., LaTeX)",I asked it a question and it gave me some false information,3 — Sometimes,4 — Often,I would look up the facts that it gives me and try to verify it,Claude,Gemini
60,Explaining concepts,3 — Neutral / Unsure,"Explaining complex concepts simply,Converting content between formats (e.g., LaTeX),Brainstorming or generating creative ideas",3 — Sometimes,"Math computations,Writing or debugging code,Data processing or analysis",I asked about programming and it gave me an answer that was a bit buggy,4 — Often,4 — Often,"I would find the references it gives and look through it quickly to verify the information it gives me. If none are given, I’d do a quick search to convince myself the answer is true",Gemini,ChatGPT
64,Brainstorming and research,3 — Neutral / Unsure,"Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",3 — Sometimes,"Writing or debugging code,Data processing or analysis",The code provided makes small errors which causes the program to not work as intended.,3 — Sometimes,3 — Sometimes,Check online and look for credible sources.,Claude,Gemini
67,"I would use this model for coding, since I can connect it directly to my GitHub account and import repositories into its context. I’d also use it for reading through long documents and answering questions about them, as it handles large amounts of text well.",3 — Neutral / Unsure,"Writing or debugging code,Explaining complex concepts simply,Converting content between formats (e.g., LaTeX),Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",3 — Sometimes,"Math computations,Data processing or analysis",For the Math Question: Susan and Lisa decided to play tennis against each other. They bet $1 on each game they played. Susan won three bets and Lisa won $5. How many games did they play? This model gave an incorrect answer of 8 games when the answer should be 11 games.,,4 — Often,I mostly use this model for debugging or creating small utility scripts. So I usually just glance at the code to see if it isn't doing anything malicious and then run to see if the output is what I expected.,Claude,ChatGPT
67,"I would use this model to polish my responses for STAR interview questions, since its writing style feels less “AI-like” to me. I also use it for tasks that involve Google Suite, like Drive and Docs, because it integrates easily and helps streamline my workflow.",5 — Very likely,"Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",3 — Sometimes,"Math computations,Writing or debugging code","When I asked this model a graph-related question, it first used an incorrect algorithm and misunderstood the problem. I had to provide additional prompts for it to grasp the question, unlike with the other models.",,3 — Sometimes,"I’d check the model’s answer by comparing it with reliable resources. Even if it gives sources, I’d make sure the answer actually matches and makes sense.",Gemini,ChatGPT
68,"I have never used [THIS MODEL] before, but I might use it for coding.",2 — Unlikely,"Writing or debugging code,Data processing or analysis",3 — Sometimes,Writing or editing essays/reports,Maybe also writing essays / emails. I'll compare it with [ANOTHER MODEL]'s response and use the better one.,4 — Often,5 — Very often,Google it to see if it's true or ask [ANOTHER MODEL] to verify if it's too long for Google search.,Gemini,Claude
70,"Writing, summarizing, editing, analysis",3 — Neutral / Unsure,"Data processing or analysis,Explaining complex concepts simply,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",2 — Rarely,"Math computations,Writing or debugging code,Converting content between formats (e.g., LaTeX)","In writing code, will make simple mistakes or memory issues.",2 — Rarely,3 — Sometimes,"Analyze the response myself, google search, run and test the code if that is the task",Claude,Gemini
70,"quick summaries, compiling references, coding, verifying my own answers.",4 — Likely,"Writing or debugging code,Data processing or analysis,Explaining complex concepts simply",2 — Rarely,"Explaining complex concepts simply,Writing or editing essays/reports,Brainstorming or generating creative ideas","When wanting a summary, it often gets facts wrongs or makes them up if it doesn’t know.",5 — Very often,3 — Sometimes,"Looking through the references it provided, to see if conclusion is true.",Gemini,Claude
79,General questions,3 — Neutral / Unsure,"Writing or debugging code,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés)",5 — Very often,"Math computations,Writing or debugging code,Data processing or analysis","Have only used this model to try to build chatbots. When querying it as a chatbot, it often did not give the information that was asked for or could not accurately locate the information.",4 — Often,5 — Very often,"When used for chatbots, I read through the response and checked if the information given is what I asked for.",Gemini,ChatGPT
102,Never try this.,1 — Not at all likely,Writing or editing essays/reports,2 — Rarely,Math computations,"not sure, sometimes use it but don't find any mistakes.",2 — Rarely,1 — Never,only use this model rarely so never verify the response.,Claude,Gemini
102,coding and debugging,3 — Neutral / Unsure,"Writing or debugging code,Converting content between formats (e.g., LaTeX)",2 — Rarely,Math computations,it is not that good at math computation as it sometimes gives a wrong answer even the question is not that complex.,4 — Often,3 — Sometimes,"try to run the code and debug it by myself, because I usually use this model to write code.",Gemini,Claude
105,"I’d use it for long-form writing, summarizing articles, and getting clear explanations of complicated topics.",4 — Likely,"Explaining complex concepts simply,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",3 — Sometimes,"Math computations,Writing or debugging code","When I asked it to debug Python, it explained in words but didn’t actually fix the bug, so I had to test and correct it myself",3 — Sometimes,3 — Sometimes,I usually compare [THIS MODEL]’s explanation with a reliable source or ask [ANOTHER MODEL],Claude,ChatGPT
108,The unknown concepts and unfamiliar formulas of functions I will use [THIS MODEL] to help me.,3 — Neutral / Unsure,"Explaining complex concepts simply,Brainstorming or generating creative ideas",3 — Sometimes,"Writing or debugging code,Writing or editing essays/reports","Because of the limited token, it's hard to generate such a long and detailed response to a math computation. Sometimes it works good at the beginning but at the end it looses accuracy.",2 — Rarely,3 — Sometimes,I would check it manually and then ask it again with my questions about that.,ChatGPT,Gemini
108,I would use it to do brainstorming or generate creative ideas.,2 — Unlikely,"Writing or debugging code,Explaining complex concepts simply,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",2 — Rarely,"Math computations,Data processing or analysis,Drafting professional text (e.g., emails, résumés)","I think [THIS MODEL] performs better with text generation and analysis, so doing math computations is limited by tokens.",2 — Rarely,2 — Rarely,"I will check first by myself, and then use other models to help me verify that.",Claude,Gemini
108,"I use it to write or debug code, and raise exceptions for my code.",4 — Likely,"Writing or debugging code,Converting content between formats (e.g., LaTeX)",3 — Sometimes,"Data processing or analysis,Drafting professional text (e.g., emails, résumés)","Suboptimal response is in data processing or analysis, since it works better at coding, but worse at analysing.",2 — Rarely,3 — Sometimes,"I will check first by myself, ask again with my questions about that, and then use other models to help me verify that.",Gemini,Claude
121,"For study purposes or use it like google. For study purposes, I tried a question on tutorial but would like AI to explain me the tutorial answer.",2 — Unlikely,Writing or debugging code,3 — Sometimes,"Math computations,Data processing or analysis,Writing or editing essays/reports","For example math problem, some details will be missed or miscalculate causing a bad following response.",4 — Often,4 — Often,"I first have a basic idea in my mind for one question and ask it. When idea not in the same line, I question or ask.",ChatGPT,Claude
126,"I would use the model for short, quick answers, or if I need pointers in a subject area that I'm not familiar with.",1 — Not at all likely,"Explaining complex concepts simply,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Data processing or analysis,Converting content between formats (e.g., LaTeX)","The response was for a linear regression derivation task. The response was correct, but the derivation process in terms of algebraic expressions was complicated, difficult to parse, and not very intuitive.",3 — Sometimes,4 — Often,"If the language model provided a link reference, I would follow the link to check for hallucinations. For technical questions, I use stack overflow or official documentation to verify the answer. Otherwise, I would perform a google search with relevant keywords.",ChatGPT,Gemini
129,"Asking questions in a conversational tone, generating emails and texts, and generating ideas.",2 — Unlikely,"Explaining complex concepts simply,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Writing or debugging code,Data processing or analysis,Converting content between formats (e.g., LaTeX)",It doesn't provide sources or examples for questions as it doesn't have access to the internet and it tends to make up information.,1 — Never,5 — Very often,Ask another generative AI model or google the prompt and see if there are sources that agree.,Claude,Gemini
129,"Generating mathematical proofs, asking for sources relating to a topic, and solving complex integrals.",5 — Very likely,"Math computations,Data processing or analysis,Explaining complex concepts simply,Converting content between formats (e.g., LaTeX)",2 — Rarely,"Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",[THIS MODEL] struggles with conversational responses. Its responses are often stiff and clearly robotic.,4 — Often,2 — Rarely,Clicking on a source it provides or verifying numerical answers using wolfram alpha.,Gemini,ChatGPT
135,I used [THIS MODEL] to answer questions about general problems I face and explanations of idioms and such.,2 — Unlikely,Explaining complex concepts simply,3 — Sometimes,"Math computations,Writing or debugging code","Writing code with [THIS MODEL] is less optimal than the other models, as it is less details and usually doesn't offer an explanation for its approaches unless asked for.",2 — Rarely,2 — Rarely,Compare with responses from other models and check with Google searches.,Claude,Gemini
135,"I also use [THIS MODEL] for math computation and coding. In my experience, it provides also better quality citations and resources for research.",4 — Likely,"Math computations,Writing or debugging code,Data processing or analysis,Writing or editing essays/reports,Brainstorming or generating creative ideas",3 — Sometimes,"Math computations,Writing or debugging code",The main instances of [THIS MODEL] providing a suboptimal response is when again computing math and manipulating formulas/proofs. It brute forces the final result even though it didn't get there through the steps.,5 — Very often,4 — Often,"Compare with [ANOTHER MODEL]/Deepseek, Google search, and match with the lecture slides that I am studying if I am currently trying to summarize the material.",Gemini,Claude
147,"I would use [THIS MODEL] for almost anything programming related, whether that be debugging, explanation of complex ideas, or getting a baseline of things. Specifically it would lean more towards explanation of any ideas or concepts that I do not recognize, to try and understand code snippets better myself.",5 — Very likely,"Math computations,Writing or debugging code,Data processing or analysis,Explaining complex concepts simply,Drafting professional text (e.g., emails, résumés)",1 — Never,"Writing or editing essays/reports,Brainstorming or generating creative ideas","When writing/editing essays, I find that [THIS MODEL] has a very formulaic way of creative writing. Specifically, it uses broad generic topics and separates the larger heading by them, before dividing and conquering, rather than being able to ebb and flow between topics at large. This can generate a very ""unnatural"" way of writing as opposed to a more ""human"" approach.",1 — Never,4 — Often,"Similar to [ANOTHER MODEL], I will use third-party resources by searching for similar articles/sources online. If it is a conclusion that requires evidence, I will usually look for research that supplements [THIS MODEL]'s findings. If it is a concept or explanation of a topic, I will usually search for other sources that corroborate the same thing in different words.",Claude,ChatGPT
147,"I will very often use [THIS MODEL] to quickly generate code or understand code snippets, usually for generating or dealing with CSS attributes/files. Additionally, I might also use [THIS MODEL] for creative writing purposes. I will also use [THIS MODEL] to get recent information on topics as it has access to the web for free, and often cites sources/YouTube videos on the topics I ask it about. I believe [THIS MODEL] also has the best ""human"" tone and personality when it comes to drafting messages/emails.",2 — Unlikely,"Writing or debugging code,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",2 — Rarely,Explaining complex concepts simply,"When asked about Linear Regression, [THIS MODEL] gave me a response that lacked fundamentals on the topic, but instead delved deeper than what a beginner would need. It also gave responses that felt longer than necessary, while I appreciated some more concise answers after referring back to [ANOTHER MODEL]/[ANOTHER MODEL]. Over the past few weeks, I have also noticed a degradation in my experience with [THIS MODEL] as I feel it may forget context mid-chat, and might run tangents on sub-par sourced information.",5 — Very often,2 — Rarely,"Usually as [THIS MODEL] cites its sources, I take the time to read through the sources and ensure that it is in line with what [THIS MODEL] responded. As I feel that [THIS MODEL] has become more unstable as of late, I might also use third-party sources by searching for articles on the same topic through a search engine.",Gemini,Claude
157,"Personally, I could use this for writing drafts of research documents. Also, I could ask [THIS MODEL] to create routine planners/guides.",2 — Unlikely,"Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",2 — Rarely,"Math computations,Writing or debugging code,Converting content between formats (e.g., LaTeX)","In math computations, sometimes [THIS MODEL] can make simple arithmetic errors especially when dealing with multi-step calculations paired with step-by-step explanations.",5 — Very often,3 — Sometimes,"This model would list the sources it uses to generate a response at the top, so verifying them is rather easy. Just go through the given sources and determine if they seem credible to you.",Claude,Gemini
157,I would use [THIS MODEL] for analysing some images or videos for audio transcription. I have also used this to convert content between different markup langauges.,3 — Neutral / Unsure,"Writing or debugging code,Data processing or analysis,Converting content between formats (e.g., LaTeX)",2 — Rarely,"Data processing or analysis,Converting content between formats (e.g., LaTeX)","I once sent this model an image of some text written in Urdu for a translation, and it gave me an (honestly) mediocre translation of the text. It would give raw translations that lacked the subtle context of the language. So it's not perfect with its image analysis --> text transcription sometimes, but most of the time its good.",3 — Sometimes,3 — Sometimes,"First ask the model for sources, citations, or URLs pertaining to the response's credibility. Then analyse them myself to verify the response's integrity.",Gemini,Claude
164,Write coding homework,4 — Likely,"Writing or debugging code,Explaining complex concepts simply",2 — Rarely,"Writing or editing essays/reports,Brainstorming or generating creative ideas",They wrote essays with very professional tone that are very likely to be detected.,2 — Rarely,3 — Sometimes,Read the essay thoroughly,Gemini,Claude
176,Understanding concepts and asking for explanations. Asking questions about a particular topic. Revising an essay I have already written to be more clearer.,4 — Likely,"Explaining complex concepts simply,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",1 — Never,,Never used this model before,1 — Never,1 — Never,Never used the model before,Claude,ChatGPT
176,Understanding concepts and asking for explanations. Asking questions about a particular topic. Revising an essay I have already written to be more clearer.,4 — Likely,"Math computations,Data processing or analysis,Explaining complex concepts simply,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",1 — Never,"Explaining complex concepts simply,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",Never used [THIS MODEL] before,1 — Never,1 — Never,Never used this model before,Gemini,ChatGPT
177,"I use [THIS MODEL] to answer quick day-to-day questions about how to do things, as well as facts I want a quick answer to. I'd rarely use it for academic in the context of answering a whole question or assignment, but I use if for checking answers and studying.",2 — Unlikely,"Explaining complex concepts simply,Converting content between formats (e.g., LaTeX),Brainstorming or generating creative ideas",4 — Often,"Math computations,Writing or debugging code",I asked [THIS MODEL] to give me a simple care guide for a rubber plant I have in my room and specifically asked it how often i should water it. It did provide a long guide on plant care but didn't mention how often i should water it.,3 — Sometimes,2 — Rarely,"If its something to do with math or CS I usually cross reference with other solutions from people, GenAIs, and myself. I also try to work through the solution [THIS MODEL] provides on my own to find flaws.",ChatGPT,Gemini
185,"I would use it mainly for administration stuff, like to create simple graphs quickly or for creating schedules.",3 — Neutral / Unsure,"Data processing or analysis,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés)",3 — Sometimes,Writing or debugging code,"When I want it to write or debug my code, it does the job but I have to prompt it some more in order to get an explanation of what it fixed or created.",,2 — Rarely,"I would search various websites with the same information and check if [THIS MODEL]'s response is correct. If the model is creating something more subjective like a schedule, I would manually go through it to see if it's what I asked for.",Claude,Gemini
185,I would use [THIS MODEL] for summarizing large amounts of text and for explaining complex concepts to me.,4 — Likely,Explaining complex concepts simply,3 — Sometimes,Writing or debugging code,"I asked [THIS MODEL] to debug some code that worked correctly. It started to spew out a large chunk of text about what was wrong with it, but then unprompted, it said that the large chunk of text was a incorrect and then gave the correct explanation. I did not like that it gave such a lengthy response just to say at the end of it that most of it was incorrect.",,2 — Rarely,"I would check the references that [THIS MODEL] provides to see if they are trustworthy. If it doesn't provide references, I search the web for similar content and compare it against the response.",Gemini,ChatGPT
186,I use it to help me read articles and give me summaries,4 — Likely,"Writing or editing essays/reports,Brainstorming or generating creative ideas",3 — Sometimes,Explaining complex concepts simply,"I think this model often times give too much explanation, which I don't need, thus I don't use this model for explanation needs.",4 — Often,2 — Rarely,I read some parts of the article by myself,Claude,Gemini
187,"I use this model for mainly writing purposes, such as polishing emails, drafting, reviewing and editing my writing, etc. I sometimes use it for coding as well.",4 — Likely,"Writing or debugging code,Explaining complex concepts simply,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",3 — Sometimes,"Writing or debugging code,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés)","I may ask the model for edits or to tighten up a piece of writing, but the output the model gave feels worse than the input.",3 — Sometimes,2 — Rarely,Clicking that link and seeing the source,Claude,ChatGPT
188,I use [THIS MODEL] to mostly summarize research articles for me to cold email professors and prepare for research position interviews.,5 — Very likely,"Data processing or analysis,Explaining complex concepts simply,Writing or editing essays/reports,Brainstorming or generating creative ideas",3 — Sometimes,Writing or debugging code,"When I asked [THIS MODEL] to verify if my code is correct, it would say it is incorrect and add redundant functionalities to my code. Occasionally, the opposite happens as well.",2 — Rarely,1 — Never,"I have only used this model mostly for research article summary, so I have never verified this model's response.",Gemini,ChatGPT
189,"best used for brainstorming, essay writing, drafting emails/letters",2 — Unlikely,"Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Writing or debugging code,Data processing or analysis,Converting content between formats (e.g., LaTeX)",when math was involved the model gave answers that did not make sense,1 — Never,1 — Never,ask the model for the sources it used,ChatGPT,Gemini
199,"I would use [THIS MODEL] for math computations such as solving equations, checking my calculations, and helping me understand step-by-step solutions.",1 — Not at all likely,Math computations,1 — Never,Writing or debugging code,"One task where the model gave a suboptimal response was debugging code. The model tried to fix errors, but the corrected code still contained issues and did not run properly.",1 — Never,1 — Never,"For coding tasks, I would verify the model’s response by running the code to check if it executes correctly and produces the expected output using my own test cases.",Claude,Gemini
208,"I use Google [THIS MODEL] whenever I do a Google search, and I get back an ""AI Overview"" response. The main task I use it for is asking questions that I want to know the answer to.",5 — Very likely,"Writing or debugging code,Explaining complex concepts simply,Converting content between formats (e.g., LaTeX),Brainstorming or generating creative ideas",5 — Very often,"Math computations,Explaining complex concepts simply","When I Google a question and the AI Overview box shows up, it often gives an incorrect answer or solution to my question.",5 — Very often,4 — Often,"Since I am already on Google when the AI Overview box shows up, and since it often provides a response that includes references or supporting evidence, I make sure to visit each of those references to make sure the information indeed matches and that the references themselves are reliable. I would also just scroll down to see the links that were provided from my Google search.",Gemini,ChatGPT
234,I'd use to to schedule my day.,1 — Not at all likely,"Data processing or analysis,Explaining complex concepts simply,Writing or editing essays/reports",1 — Never,"Math computations,Writing or debugging code",i've never used it before.,3 — Sometimes,1 — Never,Compare and cross check with reliable resources i have,Claude,Gemini
242,"I don't use this model much, but I would use it for academic questions",3 — Neutral / Unsure,Explaining complex concepts simply,3 — Sometimes,"Math computations,Writing or debugging code","When I ask it for new ideas for a project, it gives ideas that are very generic",3 — Sometimes,5 — Very often,"I would search up the same topic on Google, and use multiple sources to check if the information it provided was correct.",Claude,Gemini
242,I would use it for academic questions,5 — Very likely,"Explaining complex concepts simply,Drafting professional text (e.g., emails, résumés)",3 — Sometimes,"Math computations,Writing or debugging code","I asked it for help on how to code something for a Hackathon, and it gave code that didn't do exactly what I needed, even after I told it to change multiple times",3 — Sometimes,5 — Very often,"I would search up the same topic on Google, and see if its response was correct based on other sources.",Gemini,ChatGPT
245,"programming simple tasks, or things that have already been done by others quickly translating ideas into code searching for quick answers that aren't too important asking questions that feel awkward when worded as a search prompt",3 — Neutral / Unsure,"Writing or debugging code,Explaining complex concepts simply",3 — Sometimes,"Math computations,Data processing or analysis,Converting content between formats (e.g., LaTeX),Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",Generating code for a recent javascript framework that has gone through a major update. It keeps using outdated syntax even if I explicitly asked for new syntax.,4 — Often,3 — Sometimes,For programming only: actually running the code to see if it produces the correct results,ChatGPT,Claude
266,"I have never used [THIS MODEL] before, but I tried it out with a couple of questions aboout makeup products for very specific skin types, and it was able to perform pretty well. I also used it to draft a study plan for me.",3 — Neutral / Unsure,"Explaining complex concepts simply,Brainstorming or generating creative ideas",3 — Sometimes,Brainstorming or generating creative ideas,"I tried getting it to draft a study plan for me (currently 1pm) and it keeps starting the day from 9am. I prompted it 3 times to have the start time be now, and it said it understood but did not actually change the schedule.",,1 — Never,googling it.,Claude,Gemini
